계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
전자공학과,"급속도로 발전하는 전자, 정보통신, 컴퓨터 등 관련 산업 분야에 대처할 수 있는 능력을 배양하고 관련 산업 및 교육 분야에서 국가 경제에 이바지 할 수 있는 인재 양성을 목적으로 하는 학과이다.","* 기본적으로 복잡한 수식을 계산할 수 있는 능력을 갖춘 학생
* 수학, 물리학에 흥미가 있는 학생
* 기술이 빠르게 발전하는 전자분야의 특성을 이해하고 항상 새로운 것에 대한 호기심과 열정이 있는 학생","IT전자융합공학과, IoT전자공학과, 나노광전자학과, 융합전자공학부, 전기·전자·통신공학부, 전기전자공학과, 전기전자제어공학부, 전기전자통신컴퓨터공학부, 전자전기공학부 등","경희대, 광운대, 국민대, 동국대, 상명대, 서강대, 서경대, 서울과기대, 서울시립대, 세종대, 성균관대, 숙명여대, 연세대, 한양대, 홍익대 등","가천대, 강남대, 경기대, 단국대, 대진대, 명지대, 수원대, 아주대, 인천대, 인하대, 한국산업기술대, 한국외대(글로벌), 한국항공대, 한양대(에리카) 등","강원대, 경북대, 공주대, 부산대, 전남대, 전북대, 제주대, 충남대, 한국기술교육대, 한국해양대 등","공업기계설치 및 정비원, 무선설비기사, 전자계측제어기술자, 전자기사, 전자통신장비기술영업원, 전자공학기술자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",없음,"물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ",정보,,,,,,,,,,,,,
제어계측공학과,"제어와 계측에 관련된 전기전자, 컴퓨터, 기계분야 기술을 습득하여 자동화 제어시스템의 설계, 제작, 분석, 운용에 있어서 창의적이고 유능한 전문 기술인 양성을 목적으로 하는 학과이다.","* 컴퓨터를 좋아하고 수학 및 과학을 좋아하는 학생
* 공학의 기본원리와 응용을 폭넓고 흥미롭게 공부할 수 있는 학생","IT정보제어공학부, 디지털제어공학전공, 전기 및 제어공학과, 전기전자제어공학부, 전기제어계측공학부, 전기제어공학과, 제어자동화공학부 등",없음,한경대 등,"강원대, 경상대, 공주대, 부경대, 한국해양대 등","대체에너지개발기술자, 대체에너지개발연구원, 로봇공학기술자, 로봇연구원, 메카트로닉스공학기술자, 발전설비기술자, 전기계측제어기술자, 전기공학기술자, 전기 및 전자설비조작원, 전기안전기술자, 전기제품개발기술자, 전자계측제어기술자, 전자공학기술자, 전자기사, 전자제품개발기술자, 철도 관련 분야 연구원, 태양광발전연구 및 개발자, LED연구 및 개발자, 자동화 시스템 설계 및 제조자, 모터 및 모터 드라이브 설계 및 제조자, 승강기설계자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",없음,"물리학Ⅰ, 화학Ⅰ, 물리학Ⅱ, 화학Ⅱ",정보,,,,,,,,,,,,,
항공우주공학과,비행 원리를 비롯한 항공 관련 기본지식 연구와 항공기 운항 실습 등 체계적인 비행 교육 프로그램을 통해 조종사를 포함한 항공 전문 인력 양성을 목적으로 하는 학과이다.,"* 수학, 물리학 등 기초 공학과목에 관심과 흥미를 지닌 학생
* 기계나 사물을 다루는 것을 좋아하고 진취적이고 새로운 것에 도전하는 열정이 있는 학생
* 영어 실력을 쌓아서 다양한 정보와 기술을 습득하는 학생","기계항공공학부, 항공우주정보시스템공학과, 항공우주 및 기계공학부 등","건국대, 경희대, 서울대, 세종대 등","한국항공대, 인하대 등","부산대, 전북대, 충남대 등","발사체기술연구원, 우주센터발사 지휘통제원, 우주전파예보관, 인공위성분석원, 항공기계기부품검사원 등
기업체(부품회사, 엔지니어링 회사, 항공기 정비업체, 항공기 제작업체, 항공사, 항공·우주 관련 설계 등)
연구소(항공·우주 관련 국가 연구소 및 민간 연구소 등)
정부 및 공공기관(기술직 공무원 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",없음,"물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 융합과학",정보,,,,,,,,,,,,,
항공운항학과,비행 원리를 비롯한 항공 관련 기본지식 연구와 항공기 운항 실습 등 체계적인 비행 교육 프로그램을 통해 조종사를 포함한 항공 전문 인력 양성을 목적으로 하는 학과이다.,"* 수학, 물리학 등 기초 공학과목에 관심과 흥미를 지닌 학생
* 영어 의사소통능력이 있는 학생","무인항공기학과, 항공조정전공 등",없음,한국항공대 등,"경운대, 극동대, 세한대, 중원대, 청주대, 초당대, 한국교통대, 한서대 등","공군조종사, 비행기조종사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화","생활과 윤리, 정치와 법","물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ",정보,,,,,,,,,,,,,
멀티미디어학과,IT정보기술과 컴퓨팅(computing)을 바탕으로 멀티미디어공학의 이론과 기술을 개발하며 공학적 요소와 문화적 요소 등이 융합하여 이루어진 융복합적 학문으로 멀티미디어 정보공학이론을 바탕으로 디지털 콘텐츠를 생산할 수 있는 공학 기반의 창의적 개발 능력을 갖춘 인재 양성을 목적으로 하는 학과이다.,"* 컴퓨터를 활용한 영상제작이나 게임프로그래밍 등에 관심이 많은 학생
* 공간 감각이 뛰어나 기하 과목에 흥미를 보이는 학생
* 논리력과 상상력이 뛰어난 학생","디지털콘텐츠학과, 미디어기술콘텐츠학과, 미디어소프트웨어학과, 미디어테크놀로지전공, 융합컴퓨터미디어학부, 응용컴퓨터공학과, IT공학과 등","동국대, 숙명여대 등","가톨릭대, 경희대, 단국대, 성결대, 청운대, 한양대(에리카) 등","강릉원주대, 남서울대, 원광대, 한남대 등","광고대행사, 게임 및 애니메이션 디자이너, 디지털스토리텔링 기획자, 멀티미디어 콘텐츠 제작자, 영화VFX, 영화합성 및 색보정, 웹디자이너, 콘텐츠 플랫폼 관련 창업, 특수영상 기획 및 제작자, 학습용 콘텐츠 개발연구원, 3D애니메이션 기획 및 제작자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화",세계사,"물리학Ⅰ, 생활과 과학",미술창작,,,,,,,,,,,,,
소프트웨어학과,"스마트어플리케이션을 비롯하여 웹, 컴퓨터그래픽, 가상현실, 증강현실, 인공지능 등 다양하고 첨단화되는 소프트웨어를 개발하거나 응용하는데 필요한 이론과 기술을 습득하여 인류 복지 향상에 기여하는 인재 양성을 목적으로 하는 학과이다.","* 공학 및 과학의 기초지식을 바탕으로 한 논리력과 창의력이 있는 학생
* 컴퓨터에 대한 제반 지식과 기능을 다루기 때문에 기계 및 컴퓨터에 흥미 필요
* 소프트웨어 응용 및 게임 개발 등을 위한 창의적인 발상과 새로운 분야에 대한 호기심 필요","AI소프트웨어학과, 게임모바일콘텐츠학과, 게임공학과, 게임애니메이션학과, 스마트시스템소프트웨어학과, 인터넷소프트웨어학과, 임베디드소프트웨어학과, 컴퓨터소프트웨어공학과, IT콘텐츠학과 등","상명대, 세종대, 숙명여대, 숭실대, 한국성서대, 한양대 등","단국대, 신경대, 아주대, 인천대, 중부대, 청운대, 한국산업기술대, 한국항공대, 한신대, 한양대(에리카), 협성대 등","강릉원주대(원주), 경남대, 경북대, 계명대, 남서울대, 순천향대, 원광대, 부산대, 전북대, 충북대, 홍익대(세종) 등","가상현실전문가 게임프로그래머, 네트워크 관리자, 네트워크프로그래머, 디지털영상처리전문가, 모바일콘텐츠개발자, 음성처리전문가, 사물인터넷개발자, 스마트폰소프트웨어개발자, 시스템소프트웨어개발자, 애니메이터, 웹디자이너, 웹마스터, 인공지능연구원, 임베디드전문가, 정보시스템운영자, 컴퓨터강사, 컴퓨터보안전문가 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하, 수학과제 탐구, 인공지능 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 영어권 문화","세계사, 사회·문화",물리학Ⅰ,"정보, 인공지능 기초",,,,,,,,,,,,,
정보통신공학과,"멀티미디어 정보의 저장, 처리, 유통을 종합적으로 다루는 학문으로 통신, 컴퓨터, 소프트웨어 기술을 망라하여 멀티미디어 정보를 효율적으로 통신하는 이론과 기술을 습득하여 인류 복지 향상에 기여하는 인재 양성을 목적으로 하는 학과이다.","* 컴퓨터와 정보통신은 서로 밀접한 관련이 있기 때문에 서로의 영역에 대한 이해 필요
* 수학·통계·물리 등에 대한 기본 지식과 전기전자공학에 대한 기초 지식 필요
* 논리적인 사고력과 과학적인 응용력 및 정확한 판단력, 기계나 사물의 원리에 대한 호기심과 탐구심 필요","스마트정보통신공학과, 전자정보통신공학과, 전파정보통신공학과 등","동국대, 서울대, 세종대 등","가톨릭대, 명지대, 수원대, 인천대, 인하대, 한국외국어대, 한신대 등","강원대, 공주대, 부산대, 전남대, 충남대, 충북대 등","정보통신관련 서비스업체 및 산업체, 부가통신서비스 사업자, 국책 연구소, 통신 사업자 연구소, 정보통신 산업체 연구소, 주요 통신사업자, 주요 이동통신사업자, CATV 사업자, DSL 사업자, 은행, 증권회사 등 금융기관, 기술직 공무원, 정보통신표준화 관련기관 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하, 인공지능 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",사회·문화,"물리학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 지구과학Ⅱ","정보, 인공지능 기초",,,,,,,,,,,,,
컴퓨터공학과,"컴퓨터하드웨어, 소프트웨어, 멀티미디어, 임베디드시스템 등 컴퓨터와 관련한 지식과 기술을 익혀 다양한 분야에 컴퓨팅 할 수 있는 공학인 양성을 목적으로 하는 학과이다.","* 기본적으로 컴퓨터 하드웨어와 다양한 응용소프트웨어에 대한 관심과 흥미가 높아야 하며 공학 및 과학에 근거한 논리적 추리력과 창의력 필요
* 공학 분야에 비해 발전속도가 빠른데 이런 새로운 것에 대한 호기심과 관심이 큰 학생
* 수리능력·논리적인 사고력과 함께 물리학 등의 기초과학 분야에 관한 흥미와 재능 요구","멀티미디어공학과, 소프트웨어학부, 컴퓨터시스템공학과, 컴퓨터과학부, 컴퓨터학부, IT학부 등","가톨릭대, 건국대, 고려대, 광운대, 국민대, 덕성여대, 동국대, 동덕여대, 서강대, 서경대, 서울과학기술대, 서울대, 서울시립대, 서울여대, 성공회대, 세종대, 숭실대, 연세대, 한양대, 홍익대 등","가천대, 경희대, 단국대, 명지대, 성결대, 아주대, 한국항공대 등","강원대, 경북대, 인천대, 전북대, 충남대, 충북대 등","프로그래머 및 시스템 전문가(컴퓨터 관련 대기업, 외국기업, 벤처기업과 금융계, 공공기관, 국가출연연구소 등 컴퓨터 전문 기술을 기반으로 한 정보 통신, 인터넷, 정보 보안, 전자상거래 등의 분야)
가상현실 관련 분야 전문가(웹, 게임, 디지털 방송, 멀티미디어, 애니메이션, 그래픽스 등)
학계/연구소(대학원 진학, 연구원 등) ","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하, 인공지능 수학","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",생활과 윤리,"물리학Ⅰ, 화학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 생활과 과학","정보, 인공지능 기초",,,,,,,,,,,,,
건축공학과,"건축공학은 건축물을 짓는데 필요한 구조공학기술, 건축환경공학 및 설비공학 기술, 그리고 다양한 재료 및 시공기술과 관리기술에 대하여 연구하는 학문으로서, 다양한 건축물들의 구조해석 및 설계, 재료 및 공법, 환경설계 및 설비계획 등에 관한 전문 인력 양성을 목적으로 하는 학과이다.","* 수학, 과학 등 기초 과학 분야의 기본 지식과 미적 감각을 지닌 학생
* 건축뿐만 아니라 기계 분야에 대한 지식과 흥미도 지닌 학생
* 기술적, 과학적, 조직적 사고능력을 지닌 학생","건설공학과, 건축사회환경공학부, 건축설비공학과, 건축토목공학과 등","건국대, 고려대, 광운대, 국민대, 동국대, 삼육대, 서울과기대, 서울시립대, 세종대, 숭실대, 연세대, 중앙대, 한양대, 홍익대 등","가천대, 경기대, 경희대, 단국대, 명지대, 인하대, 중부대, 한경대, 한양대(에리카), 협성대 등","강원대, 경남대, 경북대, 경상대, 공주대, 남서울대, 우송대, 원광대, 전남대, 전북대, 제주대, 충남대, 충북대, 홍익대(세종) 등","건축 및 토목 캐드전문가, 건축설계 기술자, 건축시공 기술자, 공무원(건축건설직), 기업재난 전문가, 녹색건축 전문가, 도시계획 및 설계사, 인테리어디자이너, 건축토목감리 기술자, 해양설비(플랜트) 설계사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","한국지리, 세계지리","물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학",환경,,,,,,,,,,,,,
건축학과,건축학은 인간 생활환경에 대한 포괄적인 이해를 바탕으로 건축물 및 도시와 관련된 삶의 환경에 대하여 연구하고 디자인하는 학문으로 건축물을 설계하고 건축하기 위한 이론과 기술체계를 중심으로 편리하고 효율적인 건축물을 설계하는 전문 인력 양성을 목적으로 하는 학과이다.,"* 공간지각력, 미술감각 그리고 복잡한 문제의 관계성을 이해하고 적용하는 능력을 갖춘 학생
* 문화적, 기술적, 예술적인 능력의 통합적인 소질을 가진 학생
* 사물에 대한 호기심과 환경에 대한 관심을 가진 학생","건축학부, 건축공학부, 실내건축학과, 친환경건축학과 등","건국대, 고려대, 광운대, 국민대, 삼육대, 서울과기대, 서울시립대, 세종대, 숭실대, 연세대, 중앙대, 한양대, 홍익대 등","가천대, 경기대, 경희대, 단국대, 명지대, 인하대, 한경대, 한양대(에리카) 등","강원대, 경남대, 경북대, 경상대, 공주대, 남서울대, 대전대, 순천향대, 원광대, 전남대, 전북대, 제주대, 충남대, 충북대, 한남대, 한라대, 한밭대 등","건축설계 기술자, 건축감리 기술자, 공무원(건축직), 매매주택 연출가, 녹색건축 전문가, 부동산 컨설턴트, 쇼핑몰 디벨로퍼, 실업교사(기술), 인테리어디자이너, BIM디자이너 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 세계사, 정치와 법","물리학Ⅰ, 화학Ⅰ, 물리학Ⅱ",미술 창작,,,,,,,,,,,,,
교통공학과,"교통 공학적 해결 방안을 기본으로 하여 계획 분야의 주요 기법과 경제학적 기법 등의 종합적 접근 방법을 통해 교통문제의 본질과 원인을 규명하고, 그 해결 방안을 연구하며 실무에의 적용을 통해 도시 교통문제의 해결에 기여할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.","* 문제를 해결함에 있어 합리적인 방향을 고수하는 경향을 지닌 학생
* 사회 전반에 대한 문제에 관심을 가진 학생
* 교통문제에 대해 불편을 느끼고 어떻게 풀어야 할지에 대해 고민하고 탐구하는 학생","교통시스템공학과, 드론교통공학과, 도시·교통공학과, 철도운전시스템학과, 철도차량시스템공학과 등",서울시립대,"경기대, 아주대, 한국교통대, 한양대(에리카) 등","계명대, 동양대, 송원대, 우송대 등","공기업(도로교통공단, 도시철도공사, 코레일, 한국도로공사 등), 교통관련기업체, 교통연구원(정부산하기관, 지방자치단체 등), 정보통신사, 항공사 직원 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 한국지리","물리학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 생활과 과학",정보,,,,,,,,,,,,,
도시공학과,"국토 및 도시개발 문제, 주택문제, 토지이용 문제, 교통 문제, 환경 문제, 부동산 문제 등 현대 도시의 다양한 문제를 해결하기 위한 학문과 기술, 방법을 익히고 종합 응용하여, 도시민의 삶의 질 향상과 지속 가능한 도시개발에 기여할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.","* 다양한 분야에 호기심이 있는 학생
* 생활공간과 관련한 문제들에 관심이 많은 학생
* 공간지각능력을 토대로 무언가를 설계하고 만드는 것을 좋아하는 학생
* 문제에 대한 전략적 사고방식과 함께 창의적인 디자인 감각을 지닌 학생","도시건설과, 도시정보공학전공 등","서울시립대, 중앙대, 이화여대, 연세대, 한양대, 홍익대 등","인천대, 인하대 등","부산대, 전북대, 충북대, 한국교통대 등","감정평가사, 공학계열교수, 교통계획 및 설계가, 교통영향평가원, 도시계획 및 설계가, 지리정보시스템전문가(GIS전문가), 측량 및 지리정보기술자, 토목공학기술자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 한국지리, 세계지리, 사회문제 탐구","물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ",없음,,,,,,,,,,,,,
토목공학과,"다리, 터널, 철도, 지하철, 발전소, 댐, 상하수도, 환경 관련 시설, 안전 관리 시설 등의 설계 및 시공·유지하는 지식과 기술을 공부하고, 자연환경을 보존하면서 사람들이 편리하고 쾌적하게 살 수 있는 공간과 기반을 만들 수 있는 인재 양성을 목적으로 하는 학과이다.","* 수학, 물리학 등 공학 기초과목에 대한 관심과 흥미가 있는 학생
* 활동적이고 진취적인 성격을 지닌 학생
* 각종 건축구조물에 대한 호기심을 지닌 학생","건설·도시공학부, 건설시스템공학과, 건설환경공학과, 건축사회환경공학부, 사회환경시스템공학과, 철도건설과, 토목환경공학전공 등","고려대, 국민대, 동국대, 서울과학기술대, 서울대, 서울시립대, 세종대, 연세대, 중앙대, 한양대, 홍익대 등","경기대, 가천대, 경희대, 단국대, 명지대, 아주대, 인하대 등","강원대, 경북대, 전남대, 전북대, 충남대, 충북대 등","건설연구원, 토목감리원, 토목안전환경기술자, 토목제도사 등
기업체(건설 회사, 설계 사무소, 엔지니어링 업체, 건설 안전 진단업체, 토질 조사 및 시험업체, 항만개발업체 등)
정부 및 공공기관(토목직과 관련된 공공기관, 공무원 등)
연구소(토목 관련 국가·민간 연구소 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","한국지리, 세계지리","물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ",정보,,,,,,,,,,,,,
해양공학과,"기초 해양과학기술과 최신 응용기술을 접목한 해양진단 및 탐사공학, 해양생태 및 해양/수산 생명공학, 해양환경 및 기후변화, 해양자원 및 에너지활용 기술 분야의 융합적 교육과 연구를 통해, 신 해양시대의 중추적 역할을 담당할 전문 인력 양성을 목적으로 하는 학과이다.","* 바다 환경, 해양 환경에 대한 전반적인 이해와 인접 학문에 대한 이해를 지닌 학생
* 수학, 물리학, 화학, 지질학, 역학 등에 대한 기초적인 학습능력을 지닌 학생
* 바다 자체는 물론이고 선박을 비롯한 해양구조물에 대해서도 관심과 흥미를 지닌 학생","선박해양공학과, 조선해양공학과, 조선해양플랜트과, 해양학과, 해양융합공학과 등",서울대 등,"인하대, 한양대(에리카) 등","목포해양대, 부산대, 충남대, 한국해양대 등","무선항해통신장비설치원 등
기업체(조선소, 조선 담당 금융기관, 선박 관련 기자재 산업체, 항만 장비 개발업체, 건설 관련 업체 등)
연구소(해양, 수산 관련 국가연구소 및 민간연구소, 해양플랜트 사업 연구소 등)
정부 및 공공기관(해양 관련 공무원 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",세계지리,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ",없음,,,,,,,,,,,,,
환경공학과,"대기, 물, 토양 등의 자연환경을 구성하는 환경이 어떻게 변화하고 있는지, 또 이러한 환경이 오염되는 원인과 오염 물질을 분석하고, 환경오염에 따르는 문제점 및 해결방안을 강구하는 등 환경에 대해 전반적인 연구를 하는 전문 인력 양성을 목적으로 하는 학과이다.","* 화학, 물리, 수학 등 기초과학에 대한 관심과 지식 필요
* 정밀함이 필요한 실험·실습이 많으므로 꼼꼼하고 차분한 성격 요구
* 우리 사회 환경 개선에 적용하도록 창의적인 발상을 하는 적극적이고 진취적인 성격을 가진 학생","바이오환경과학과, 자원환경공학과, 조경·지역시스템공학부(지역시스템공학전공), 지구환경과학과, 지구환경과학부, 화학생명환경과학부, 환경시스템공학과 등","건국대, 경희대, 고려대, 광운대, 동국대, 서울과기대, 서울대, 서울시립대, 서울여대, 이화여대, 한국외대, 한양대 등","가톨릭대, 명지대, 아주대, 용인대, 인하대, 한국산업기술대 등","강원대, 경북대, 부산대, 전남대, 전북대, 제주대, 충남대, 충북대 등","교육 및 자연과학·사회과학연구관련(기후변화전문가, 환경 및 해양과학연구원 등)
환경·인쇄·목재·가구·공예 및 생산관련(대기환경기술자, 바이오에너지연구 및 개발자, 보건위생 및 환경검사원, 비파괴검사원, 산업안전원, 소음진동기술자, 수질환경기술자, 에너지진단전문가, 위험관리원, 토양환경공학기술자, 폐기물처리기술자, 환경공학기술자, 환경공학시험원, 환경영향평가원, 환경컨설턴트 등)
건설관련(도시계획 및 설계자, 조경기술자, 친환경건축컨설턴트 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",한국지리,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 화학Ⅱ, 생명과학Ⅱ, 지구과학Ⅱ, 생활과 과학",없음,,,,,,,,,,,,,
생명공학과,"생명공학은 생화학, 생물학, 유기화학, 분자생물학 등의 기초과학 지식을 바탕으로 의·약학, 이학, 공학 등 다양한 학문 분야를 통합적으로 연구한다. 보건, 의료, 식품, 환경, 농·수·축산, 화장품 공업 등 다양한 산업에 실용화할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.","* 기초자연과학에 흥미와 생명 현상에 호기심이 있는 학생 
* 자연법칙과 과학적 연구 방법을 이해하고 적용할 수 있는 추론적 판단력을 가진 학생
* 생명 현상을 객관적으로 보는 관찰력, 논리적 사고, 도전 정신, 분석력을 겸비한 학생","동물생명공학과, 생체공학전공, 바이오메디컬학부, 생명화학공학부, 바이오시스템소재학부, 식품동물생명공학부, 글로벌생명공학전공, 화학생명공학과, 바이오 및 뇌공학과, 분자생명공학과, 생명나노공학과, 생명정보공학과, 생명환경공학과, 생체공학과, 응용생명공학과, 바이오융합공학과, 바이오테크놀로지학부, 바이오산업공학과, 식물생산과학부 등","건국대, 고려대, 동국대, 삼육대, 상명대, 서강대, 서울대, 서울여대, 성신여대, 세종대, 연세대, 이화여대, 중앙대, 한국외대, 한양대 등","가톨릭대, 수원대, 신경대, 한경대, 한국산업기술대, 한국외대(글로벌), 한양대(에리카) 등","강원대, 경상대, 전남대, 전북대, 제주대, 충남대, 충북대 등","연구 분야(교수, 생명과학연구원, 생명공학연구원 - 생명공학연구소, 보건환경연구소, 의약관련연구소, 농촌진흥청, 농림축산관련연구소, 국립과학연구소, 더 알아두기 기업체 연구소 등)
기업체 분야(의약, 환경, 식품, 비료, 유제품, 화장품 등의 제조 및 판매업체, 바이오기기회사, IT, 금융업체 등)
정부공공기관법조분야(변리사, 변호사, 농업·환경·산림·보건직 공무원 및 공사 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",생활과 윤리,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 화학Ⅱ, 생명과학Ⅱ",없음,,,,,,,,,,,,,
